判定,相似度,样题题型,样题编号,样题题干,样题选项,样题答案,题库出处,题库答案,答案是否一致
题库无此题,,单选题,46,下列产品使用批处理计算模式的是：①MapReduce ②Storm ③Pregel ④Hive ⑤DStream ⑥Spark ⑦Cassandra ⑧Flume,A.①②⑧ | B.②④⑦ | C.②③⑤ | D.①⑥,D,,,
题库无此题,,单选题,47,知识库与知识图谱的主要区别在于,A.知识库侧重存储，知识图谱强调图结构表示和语义关联 | B.知识库强调实体关系，知识图谱强调静态存储 | C.知识库支持语义推理，知识图谱仅支持关键词检索 | D.知识库以图结构组织，知识图谱以表格形式存储,A,,,
题库无此题,,单选题,62,在数据分片中，( ) 是用来决定如何将数据分割到各个分片的。,A.主键 | B.外键 | C.分区键 | D.唯一键,C,,,
题库无此题,,单选题,66,让大语言模型在海量无标签数据中学习语言规律和语义关联，从而获得通用语言理解能力。这一核心技术属于,A.预训练 | B.无监督数据增强 | C.参数微调 | D.分布式推理加速,A,,,
题库无此题,,单选题,69,K 最近邻算法 KNN 中 “K” 表示,A.K 个数据的类别标签 | B.随机选择 K 个初始数据点 | C.数据分类的数量 K | D.在预测时需参考的最近邻样本数量,D,,,
题库无此题,,单选题,77,在人工智能训练过程中，人工智能训练师 ( ) 有效利用用户研究的方法来提升模型性能。,A.仅依赖个人经验进行模型调优 | B.忽视用户反馈，仅关注技术指标的优化 | C.深入分析用户数据，结合用户研究方法论来指导模型训练 | D.随意选择用户研究工具，不进行系统分析,C,,,
题库无此题,,单选题,87,位图法在数据去重中的应用主要是通过( )。,A.比较每个数据与已有数据的相似度 | B.记录每个数据是否出现过 | C.对数据进行排序 | D.对数据进行压缩,B,,,
题库无此题,,多选题,6,在深度学习中，为了提高模型的泛化能力，通常会使用正则化技术。关于正则化描述正确的是,A.L1正则是损失函数增加参数绝对值之和 | B.L2正则是损失函数增加参数平方和 | C.Dropout训练随机丢弃部分神经元 | D.Earlystopping验证集不提升则停止训练 | E.数据增强扩充样本属于正则手段,"A,B,C,D,E",,,
题库无此题,,多选题,18,在模型评估指标的计算方法中，()是正确的。,A.准确率可以通过计算所有预测正确的样本数除以总样本数得到 | B.精确率可以通过计算真正例数除以所有被预测为正例的样本数得到 | C.召回率可以通过计算真正例数除以所有实际为正例的样本数得到 | D.F1值可以通过计算精确率和召回率的调和平均值得到 | E.AUC-ROC曲线下的面积可以用来衡量模型的整体性能,"A,B,C,D,E",,,
题库无此题,,多选题,24,在领导力培训中，常用的方法包括,A.自我评估工具 | B.360度反馈 | C.情景模拟 | D.角色扮演 | E.心理测试,"A,B,C,D,E",,,
题库无此题,,多选题,26,智能控制功能模块在()领域有广泛应用。,A.智能家居 | B.工业自动化 | C.航空航天 | D.医疗电子 | E.交通运输,"A,B,C,E",,,
题库无此题,,多选题,31,在使用数据存储和管理工具时，()可以提高工作效率。,A.使用自动化脚本简化数据操作 | B.定期对数据进行清理和维护 | C.利用内置模板快速创建报表 | D.对数据进行分类和标签化以便于检索 | E.避免使用复杂的查询语句以提高性能,"A,B,C,D",,,
题库无此题,,多选题,38,数据清洗与预处理流程的主要步骤包括,A.数据筛选 | B.数据转换 | C.数据分析 | D.数据集成 | E.数据可视化,"A,B,D",,,
